Reference; Value; Footprint;Buy
C1;22p;0603;Reichelt/DigiKey/Mouser
C10;100n;0805;Reichelt/DigiKey/Mouser
C11;100n;0805;Reichelt/DigiKey/Mouser
C12;100n;0805;Reichelt/DigiKey/Mouser
C2;100u;Elko 11x5mm RM2.5;Reichelt/DigiKey/Mouser
C3;100n;0805;Reichelt/DigiKey/Mouser
C4;100n;0805;Reichelt/DigiKey/Mouser
C5;22p;0603;Reichelt/DigiKey/Mouser
C6;100n;0805;Reichelt/DigiKey/Mouser
C7;220u;Elko 11x5mm RM2.5;Reichelt/DigiKey/Mouser
C8;100n;0805;Reichelt/DigiKey/Mouser
C9;100n;0805;Reichelt/DigiKey/Mouser
D1;D_Schottky;RM10;Reichelt/DigiKey/Mouser
D2;D_Schottky;RM10;Reichelt/DigiKey/Mouser
JP1;JUMPER3;1x03 RM2,54 Jumper;Reichelt/DigiKey/Mouser
JP2;JUMPER3;1x03 RM2,54 Jumper;Reichelt/DigiKey/Mouser
L1;680u;Elko 11.2x6.3mm RM2.5;DigiKey/Mouser
P1;CONN_01X02;AKL RM5;Reichelt/DigiKey/Mouser
P2;FDSP_Header;Socket Strip 2x11;Reichelt/DigiKey/Mouser
P3;StdConn_ClkOut;2x08 RM2,54 Wanne;Reichelt/DigiKey/Mouser
P4;StsConn_ClkOut;2x08 RM2,54 Wanne;Reichelt/DigiKey/Mouser
P5;StdConn_ClkVar;2x08 RM2,54 Wanne;Reichelt/DigiKey/Mouser
P6;StdConn_ClkIn;2x08 RM2,54 Wanne;Reichelt/DigiKey/Mouser
R1;2M2;0805;Reichelt/DigiKey/Mouser
R2;100;0805;Reichelt/DigiKey/Mouser
R3;3k3;0805;Reichelt/DigiKey/Mouser
R4;2k;0805;Reichelt/DigiKey/Mouser
U1;74HCU14;SOIC-14 3.9x8.7mm Pitch1.27mm;DigiKey/Mouser
U2;LM2574;DIP-8;Reichelt/DigiKey/Mouser
Y1;12.288MHz;HC49;Reichelt/DigiKey/Mouser
